Name,Instances,Features,PosClassRatio,NTestCE,M1TestCE,M2TestCE,PTestCE,SKTestCE,NTrainCE,M1TrainCE,M2TrainCE,PTrainCE,SKTrainCE,NTestAcc,M1TestAcc,M2TestAcc,PTestAcc,SKTestAcc,NTrainAcc,M1TrainAcc,M2TrainAcc,PTrainAcc,SKTrainAcc,NConverge,M1Converge,M2Converge,PConverge,SKConverge,N_CE_diff,M1_CE_diff,M2_CE_diff,P_CE_diff,SK_CE_diff
Datasets\mammography.csv,11183.0,6.0,0.023249575248144506,0.6919169456355194,0.6920582848374964,0.691916295132035,0.6919203049928655,0.05766061412309378,0.6919192054456265,0.6920580509418313,0.6919175985067342,0.6919230131524865,0.05658238242471967,98.07153502235471,91.14754098360655,98.14605067064083,98.09836065573771,98.36065573770493,98.0518650996423,90.91083290751149,98.10551865099643,98.01098620337248,98.37250894225856,523.2,526.8,522.6,522.5,0.0,-2.25981010704146e-06,2.338956651692925e-07,-1.3033746991686357e-06,-2.708159621001016e-06,0.0010782316983741075
Datasets\musk.csv,6598.0,166.0,0.1541376174598363,1.0146779821743155,1.1259338838572763,1.1918545411115762,1.0401837696262926,6.609107531414134,0.6908929823606955,0.6908034960221405,0.6908257486701305,0.690899589116746,0.11937879235921497,43.64646464646465,42.696969696969695,39.88383838383838,43.69191919191918,74.03030303030303,68.03161541792983,64.3005630142919,63.471199653529666,64.21611087050671,95.60632308358598,530.1,529.7,524.9,529.3,0.0,0.32378499981361997,0.4351303878351358,0.5010287924414457,0.34928418050954657,6.489728739054919
Datasets\phoneme.csv,5404.0,5.0,0.2934863064396743,0.6925239343420051,0.6924948940266055,0.6925223930686085,0.6925041432991862,0.47329634763292355,0.6925194094880542,0.6924887266651204,0.6925172160431512,0.6925013472627835,0.4700921458648196,76.52897657213317,73.83477188655982,76.3501849568434,76.47965474722567,75.11713933415537,76.77683765203595,73.97937599153886,76.53622421998942,76.79005817028028,74.99471179270226,543.0,549.5,540.9,539.8,0.0,4.524853950860219e-06,6.16736148506547e-06,5.17702545732579e-06,2.7960364027412865e-06,0.0032042017681039314
Datasets\pollen.csv,3848.0,5.0,0.5,0.6931612377144984,0.6931514820072744,0.693154770108285,0.6931591181610355,0.7277342515541556,0.693144577097588,0.693145303915262,0.6931466559632247,0.693144592127176,0.6923834704641801,49.6969696969697,49.64502164502164,49.645021645021636,50.311688311688314,49.307359307359306,50.326773115484585,50.5792796138136,50.08540660972893,50.37133308577795,51.10657259561827,649.7,621.3,617.0,618.9,0.0,1.6660616910413317e-05,6.1780920124210326e-06,8.114145060300615e-06,1.4526033859429965e-05,0.03535078108997547
Datasets\quake.csv,2178.0,3.0,0.5550964187327824,0.6930172033062977,0.6923358999786259,0.693075995123268,0.6927748668115914,4.949363098753444,0.6931201835649605,0.6931286823557656,0.6931203323620878,0.6931202482207104,0.6842891535174285,51.88073394495412,54.510703363914374,50.810397553516815,52.61467889908257,53.50152905198777,55.55774278215224,54.93438320209974,55.26246719160105,55.38713910761155,55.9514435695538,615.1,829.9,639.0,618.7,0.0,-0.00010298025866284366,-0.0007927823771397557,-4.433723881980267e-05,-0.0003453814091189944,4.265073945236015
Datasets\satellite.csv,5100.0,36.0,0.014705882352941176,0.6240577117553372,0.6498948954758462,0.6967774534115097,0.5647343322384307,0.6276082151474998,0.6918315778204361,0.6918334936321622,0.691849316372956,0.6918258945551505,0.013918970973120573,79.30718954248366,89.09150326797386,59.74509803921569,98.66013071895425,99.33986928104576,81.07002801120447,89.187675070028,76.53501400560225,80.92997198879551,99.52380952380952,521.7,522.7,521.9,522.8,0.0,-0.06777386606509894,-0.041938598156315954,0.004928137038553659,-0.1270915623167198,0.6136892441743792
Datasets\stock.csv,950.0,9.0,0.5136842105263157,0.6837231820954282,0.6835002592197367,0.6836388507158546,0.6835792530025193,80.68577820622075,0.6917682391834427,0.6917947166163684,0.691817448802569,0.6917758695234322,0.3187063208876369,68.0,67.50877192982455,69.64912280701755,68.21052631578945,47.29824561403508,70.04511278195488,69.59398496240601,69.78947368421052,69.90977443609025,84.94736842105263,536.1,535.4,533.7,535.5,0.0,-0.008045057088014507,-0.008294457396631705,-0.008178598086714395,-0.008196616520912858,80.3670718853331
Datasets\titanic.csv,2201.0,3.0,0.3230349840981372,0.692644443109389,0.6925572249512457,0.6926210839231475,0.692646353366235,0.5296438180145303,0.6926286043039453,0.6925396185257277,0.6926038201638436,0.6926302901467067,0.5196885662962598,77.79122541603631,77.17095310136156,76.9591527987897,77.4432677760968,77.38275340393344,78.2012987012987,77.74025974025975,77.55844155844156,78.04545454545455,77.75974025974025,549.4,538.5,542.3,541.5,0.0,1.5838805443646464e-05,1.760642551806857e-05,1.7263759303887127e-05,1.6063219528295036e-05,0.009955251718270497
Datasets\visualizing_galaxy.csv,323.0,4.0,0.541795665634675,0.6695623632119716,0.6699899120270585,0.6695744542175752,0.6699526605251259,0.780567463128757,0.6920329682213571,0.6920560362605503,0.6920272919587978,0.6920490598657174,0.16074760212417427,82.78350515463917,82.9896907216495,81.75257731958763,82.16494845360825,94.74226804123711,82.56637168141593,83.09734513274336,83.98230088495576,84.07079646017698,96.01769911504425,528.3,530.8,529.6,528.3,0.0,-0.02247060500938547,-0.022066124233491857,-0.02245283774122253,-0.022096399340591488,0.6198198610045828
Datasets\vowel.csv,990.0,10.0,0.09090909090909091,0.6916398872068503,0.6916728099017742,0.6916799172659344,0.6916939536223714,0.155277788316713,0.6919974739522357,0.6919920784466911,0.6919987351147805,0.6919985269619274,0.08124664466958978,93.7037037037037,94.37710437710439,93.97306397306397,94.2087542087542,93.90572390572392,93.43434343434345,92.91486291486292,92.94372294372293,92.98701298701299,97.01298701298701,528.0,526.7,527.2,527.5,0.0,-0.00035758674538532986,-0.0003192685449169286,-0.0003188178488461313,-0.0003045733395560246,0.07403114364712321
